date,value
2020-01-01,65
2020-01-02,39
2020-01-03,43
2020-01-04,46
2020-01-05,79
2020-01-06,63
2020-01-07,1
2020-01-08,40
2020-01-09,36
2020-01-10,84
2020-01-11,28
2020-01-12,59
2020-01-13,16
2020-01-14,59
2020-01-15,47
2020-01-16,14
2020-01-17,83
2020-01-18,72
2020-01-19,32
2020-01-20,74
2020-01-21,43
2020-01-22,18
2020-01-23,88
2020-01-24,85
2020-01-25,84
2020-01-26,90
2020-01-27,31
2020-01-28,36
2020-01-29,57
2020-01-30,57
2020-01-31,51
2020-02-01,29
2020-02-02,58
2020-02-03,17
2020-02-04,57
2020-02-05,65
2020-02-06,74
2020-02-07,91
2020-02-08,64
2020-02-09,2
2020-02-10,4
2020-02-11,93
2020-02-12,90
2020-02-13,22
2020-02-14,48
2020-02-15,58
2020-02-16,27
2020-02-17,3
2020-02-18,80
2020-02-19,92
2020-02-20,46
2020-02-21,46
2020-02-22,29
2020-02-23,53
2020-02-24,13
2020-02-25,5
2020-02-26,14
2020-02-27,12
2020-02-28,82
2020-02-29,43
2020-03-01,69
2020-03-02,49
2020-03-03,22
2020-03-04,17
2020-03-05,54
2020-03-06,76
2020-03-07,76
2020-03-08,46
2020-03-09,78
2020-03-10,79
2020-03-11,31
2020-03-12,75
2020-03-13,72
2020-03-14,21
2020-03-15,51
2020-03-16,72
2020-03-17,97
2020-03-18,55
2020-03-19,29
2020-03-20,15
2020-03-21,4
2020-03-22,90
2020-03-23,51
2020-03-24,67
2020-03-25,89
2020-03-26,92
2020-03-27,84
2020-03-28,67
2020-03-29,20
2020-03-30,29
2020-03-31,91
2020-04-01,50
2020-04-02,47
2020-04-03,71
2020-04-04,74
2020-04-05,45
2020-04-06,52
2020-04-07,61
2020-04-08,60
2020-04-09,52
2020-04-10,30
2020-04-11,52
2020-04-12,70
2020-04-13,28
2020-04-14,18
2020-04-15,39
2020-04-16,75
2020-04-17,64
2020-04-18,40
2020-04-19,94
2020-04-20,1
2020-04-21,63
2020-04-22,3
2020-04-23,53
2020-04-24,16
2020-04-25,45
2020-04-26,10
2020-04-27,83
2020-04-28,88
2020-04-29,21
2020-04-30,66
2020-05-01,82
2020-05-02,82
2020-05-03,34
2020-05-04,32
2020-05-05,73
2020-05-06,50
2020-05-07,26
2020-05-08,34
2020-05-09,3
2020-05-10,54
2020-05-11,31
2020-05-12,43
2020-05-13,60
2020-05-14,92
2020-05-15,63
2020-05-16,7
2020-05-17,54
2020-05-18,77
2020-05-19,30
2020-05-20,54
2020-05-21,71
2020-05-22,46
2020-05-23,67
2020-05-24,2
2020-05-25,42
2020-05-26,42
2020-05-27,37
2020-05-28,39
2020-05-29,80
2020-05-30,12
2020-05-31,26
2020-06-01,10
2020-06-02,81
2020-06-03,53
2020-06-04,80
2020-06-05,34
2020-06-06,49
2020-06-07,5
2020-06-08,13
2020-06-09,72
2020-06-10,9
2020-06-11,44
2020-06-12,68
2020-06-13,32
2020-06-14,1
2020-06-15,25
2020-06-16,28
2020-06-17,99
2020-06-18,87
2020-06-19,82
2020-06-20,43
2020-06-21,85
2020-06-22,25
2020-06-23,94
2020-06-24,70
2020-06-25,36
2020-06-26,73
2020-06-27,87
2020-06-28,44
2020-06-29,84
2020-06-30,80
2020-07-01,91
2020-07-02,79
2020-07-03,63
2020-07-04,62
2020-07-05,86
2020-07-06,17
2020-07-07,14
2020-07-08,71
2020-07-09,94
2020-07-10,19
2020-07-11,92
2020-07-12,92
2020-07-13,23
2020-07-14,62
2020-07-15,71
2020-07-16,88
2020-07-17,33
2020-07-18,69
2020-07-19,67
2020-07-20,7
2020-07-21,20
2020-07-22,98
2020-07-23,46
2020-07-24,46
2020-07-25,86
2020-07-26,67
2020-07-27,82
2020-07-28,47
2020-07-29,36
2020-07-30,60
2020-07-31,31
2020-08-01,97
2020-08-02,70
2020-08-03,81
2020-08-04,60
2020-08-05,7
2020-08-06,54
2020-08-07,98
2020-08-08,83
2020-08-09,21
2020-08-10,91
2020-08-11,15
2020-08-12,53
2020-08-13,50
2020-08-14,78
2020-08-15,31
2020-08-16,73
2020-08-17,62
2020-08-18,22
2020-08-19,90
2020-08-20,94
2020-08-21,69
2020-08-22,58
2020-08-23,46
2020-08-24,36
2020-08-25,73
2020-08-26,59
2020-08-27,42
2020-08-28,88
2020-08-29,33
2020-08-30,56
2020-08-31,97
2020-09-01,49
2020-09-02,27
2020-09-03,87
2020-09-04,14
2020-09-05,50
2020-09-06,62
2020-09-07,73
2020-09-08,87
2020-09-09,23
2020-09-10,14
2020-09-11,52
2020-09-12,52
2020-09-13,60
2020-09-14,72
2020-09-15,1
2020-09-16,24
2020-09-17,78
2020-09-18,75
2020-09-19,84
2020-09-20,11
2020-09-21,5
2020-09-22,50
2020-09-23,18
2020-09-24,80
2020-09-25,49
2020-09-26,79
2020-09-27,9
2020-09-28,66
2020-09-29,40
2020-09-30,85
2020-10-01,84
2020-10-02,88
2020-10-03,62
2020-10-04,64
2020-10-05,23
2020-10-06,62
2020-10-07,97
2020-10-08,10
2020-10-09,10
2020-10-10,21
2020-10-11,66
2020-10-12,30
2020-10-13,32
2020-10-14,65
2020-10-15,14
2020-10-16,89
2020-10-17,75
2020-10-18,87
2020-10-19,24
2020-10-20,60
2020-10-21,69
2020-10-22,65
2020-10-23,1
2020-10-24,83
2020-10-25,97
2020-10-26,31
2020-10-27,93
2020-10-28,86
2020-10-29,28
2020-10-30,29
2020-10-31,30
2020-11-01,78
2020-11-02,98
2020-11-03,38
2020-11-04,80
2020-11-05,45
2020-11-06,53
2020-11-07,6
2020-11-08,24
2020-11-09,86
2020-11-10,5
2020-11-11,46
2020-11-12,78
2020-11-13,63
2020-11-14,81
2020-11-15,60
2020-11-16,95
2020-11-17,29
2020-11-18,63
2020-11-19,91
2020-11-20,86
2020-11-21,20
2020-11-22,47
2020-11-23,50
2020-11-24,95
2020-11-25,17
2020-11-26,54
2020-11-27,27
2020-11-28,95
2020-11-29,52
2020-11-30,93
2020-12-01,31
2020-12-02,60
2020-12-03,69
2020-12-04,5
2020-12-05,70
2020-12-06,76
2020-12-07,69
2020-12-08,71
2020-12-09,36
2020-12-10,22
2020-12-11,98
2020-12-12,57
2020-12-13,51
2020-12-14,40
2020-12-15,66
2020-12-16,62
2020-12-17,79
2020-12-18,94
2020-12-19,31
2020-12-20,78
2020-12-21,76
2020-12-22,40
2020-12-23,18
2020-12-24,74
2020-12-25,8
2020-12-26,85
2020-12-27,91
2020-12-28,71
2020-12-29,64
2020-12-30,23
2020-12-31,78
2021-01-01,47
2021-01-02,24
2021-01-03,12
2021-01-04,73
2021-01-05,74
2021-01-06,63
2021-01-07,25
2021-01-08,70
2021-01-09,62
2021-01-10,28
2021-01-11,73
2021-01-12,90
2021-01-13,52
2021-01-14,94
2021-01-15,5
2021-01-16,3
2021-01-17,34
2021-01-18,54
2021-01-19,94
2021-01-20,66
2021-01-21,65
2021-01-22,64
2021-01-23,86
2021-01-24,29
2021-01-25,70
2021-01-26,44
2021-01-27,99
2021-01-28,43
2021-01-29,75
2021-01-30,93
2021-01-31,69
2021-02-01,77
2021-02-02,50
2021-02-03,48
2021-02-04,61
2021-02-05,10
2021-02-06,46
2021-02-07,98
2021-02-08,31
2021-02-09,43
2021-02-10,30
2021-02-11,30
2021-02-12,46
2021-02-13,72
2021-02-14,68
2021-02-15,35
2021-02-16,90
2021-02-17,73
2021-02-18,25
2021-02-19,40
2021-02-20,12
2021-02-21,4
2021-02-22,83
2021-02-23,35
2021-02-24,20
2021-02-25,81
2021-02-26,64
2021-02-27,91
